Company Name,Account Group Description,Zone,Channel,Document Type,G/L Description,Agency Code,Agency Name,Client Code,Client Name,ORIGINAL DOCUMENT nUMBER,Billing Document Number,Billing Date,TO. Number,Group Curr,Brand name,Deal no,Accounting Document Number,Sales Document,Gross Group Currency,CGST GROUP CURR,SGST GROUP CURR,IGST GROUP CURR,UGST GROUP CURR,Net Amount Group Currency,Order Reason,Reference,Entry Date
ZEE ENT. ENTERPRISES,ZEE - AAAI Others  Customers,WEST,ZEE CINEMA,YADV,Advertisement Income,1000011,3BROTHERS & FILS,1419415,BIKAJI FOODS INTERNATIONAL LIM,F29001183541,1002681631,2021/01/15,21012044W,INR,BIKAJI,611/2020,2800280848,4504877348,38225,3440,3440,0,0,45105,,,2021/01/17
ZEE ENT. ENTERPRISES,ZEE - AAAI Others  Customers,WEST,ZEE CINEMA,YADV,Advertisement Income,1000011,3BROTHERS & FILS,1419415,BIKAJI FOODS INTERNATIONAL LIM,F29001183542,1002681632,2021/01/15,21012446W,INR,BIKAJI,611/2020,2800280849,4504879010,20550,1850,1850,0,0,24250,,,2021/01/17
ZEE ENT. ENTERPRISES,ZEE Non - AAAI Other Customers,MADRAS,ZEE TELUGU,YADV,Advertisement Income,1000054,AACHI MASALA FOODS PRIVATE LIM,1400078,AACHI MASALA FOODS PRIVATE LIM,F29005005183,1002681633,2021/01/15,21014016M,INR,AACHI MASALA,740/2020,2800280850,4504883501,708000,63720,63720,0,0,835440,,,2021/01/17
ZEE ENT. ENTERPRISES,ZEE Non - AAAI Other Customers,MADRAS,ZEE TELUGU,YADV,Advertisement Income,1000054,AACHI MASALA FOODS PRIVATE LIM,1400078,AACHI MASALA FOODS PRIVATE LIM,F29005005184,1002681634,2021/01/15,21014020M,INR,AACHI MASALA,740/2020,2800280851,4504883517,255000,22950,22950,0,0,300900,,,2021/01/17
ZEE ENT. ENTERPRISES,ZEE Non - AAAI Other Customers,MADRAS,ZEE TELUGU,YADV,Advertisement Income,1000054,AACHI MASALA FOODS PRIVATE LIM,1400078,AACHI MASALA FOODS PRIVATE LIM,F29005005185,1002681635,2021/01/15,21014021M,INR,AACHI MASALA,740/2020,2800280852,4504883521,144000,12960,12960,0,0,169920,,,2021/01/17
ZEE ENT. ENTERPRISES,ZEE Non - AAAI Other Customers,MADRAS,ZEE KANNADA,YADV,Advertisement Income,1000054,AACHI MASALA FOODS PRIVATE LIM,1400078,AACHI MASALA FOODS PRIVATE LIM,F29005005186,1002681636,2021/01/15,21014011M,INR,AACHI RANGE OF PRODUCTS,517/2020,2800280853,4504884865,564000,50760,50760,0,0,665520,,,2021/01/17
ZEE ENT. ENTERPRISES,ZEE Non - AAAI Other Customers,MADRAS,ZEE KANNADA,YADV,Advertisement Income,1000054,AACHI MASALA FOODS PRIVATE LIM,1400078,AACHI MASALA FOODS PRIVATE LIM,F29005005187,1002681637,2021/01/15,21014027M,INR,AACHI RANGE OF PRODUCTS,517/2020,2800280854,4504884880,800000,72000,72000,0,0,944000,,,2021/01/17
ZEE ENT. ENTERPRISES,ZEE Non - AAAI Other Customers,MADRAS,ZEE TAMIL,YADV,Advertisement Income,1000054,AACHI MASALA FOODS PRIVATE LIM,1400078,AACHI MASALA FOODS PRIVATE LIM,F29005005188,1002681638,2021/01/15,21014030M,INR,AACHI RANGE OF PRODUCTS,662/2020,2800280855,4504886420,588000,52920,52920,0,0,693840,,,2021/01/17
ZEE ENT. ENTERPRISES,ZEE Non - AAAI Other Customers,MADRAS,ZEE TAMIL,YADV,Advertisement Income,1000054,AACHI MASALA FOODS PRIVATE LIM,1400078,AACHI MASALA FOODS PRIVATE LIM,F29005005189,1002681639,2021/01/15,21014057M,INR,AACHI RANGE OF PRODUCTS,662/2020,2800280856,4504886447,392000,35280,35280,0,0,462560,,,2021/01/17
ZEE ENT. ENTERPRISES,ZEE Non - AAAI Other Customers,MADRAS,ZEE CINEMALU,YADV,Advertisement Income,1000054,AACHI MASALA FOODS PRIVATE LIM,1400078,AACHI MASALA FOODS PRIVATE LIM,F29005005190,1002681640,2021/01/15,21014003M,INR,AACHI MASALA,583/2020,2800280857,4504890919,216000,19440,19440,0,0,254880,,,2021/01/17
